"y","t","g","ctry"
3.92605736851692,1,0,"d"
-54.7588050365448,1,1,"d"
-17.2089695930481,1,1,"d"
-37.3685449361801,1,0,"d"
114.382231235504,1,0,"d"
-54.7588050365448,1,0,"d"
-54.7588050365448,1,0,"d"
1.15673914551735,1,0,"d"
38.4314864873886,1,0,"d"
-48.2901483774185,1,1,"d"
-28.1305700540543,1,0,"d"
1.15673914551735,1,1,"d"
-65.6804025173187,1,1,"d"
-30.8998912572861,1,0,"d"
21.3163122534752,1,1,"d"
1.15673914551735,1,1,"d"
-54.7588050365448,1,0,"d"
-54.7588050365448,1,0,"d"
-16.2335187196732,1,1,"d"
-37.3685449361801,1,0,"d"
38.5821968317032,1,0,"d"
-19.9782893061638,1,0,"d"
73.3627140522003,1,1,"d"
-54.7588050365448,1,1,"d"
-48.2901483774185,1,1,"d"
-37.3685449361801,1,1,"d"
38.5821968317032,1,0,"d"
-37.3685449361801,1,1,"d"
1.15673914551735,1,0,"d"
-65.6804025173187,1,0,"d"
-65.6804025173187,1,0,"d"
-65.6804025173187,1,0,"d"
-34.5992267131805,1,1,"d"
-54.7588050365448,1,0,"d"
-16.2335187196732,1,1,"d"
-16.2335187196732,1,1,"d"
-27.1551191806793,1,1,"d"
79.7260940074921,1,0,"d"
-48.2901483774185,1,0,"d"
-54.7588050365448,1,1,"d"
55.9724509716034,1,0,"d"
-16.2335187196732,1,1,"d"
-34.5992267131805,1,0,"d"
-48.2901483774185,1,0,"d"
-65.6804025173187,1,0,"d"
-48.2901483774185,1,0,"d"
-16.2335187196732,1,1,"d"
-54.7588050365448,1,1,"d"
-48.2901483774185,1,1,"d"
-16.2335187196732,1,0,"d"
-54.7588050365448,1,0,"d"
37.6067459583282,1,1,"d"
1.15673914551735,1,0,"d"
0.181286956649274,1,1,"d"
35.9372466802597,1,0,"d"
-48.2901483774185,1,0,"d"
-65.6804025173187,1,1,"d"
-37.3685449361801,1,1,"d"
-65.6804025173187,1,1,"d"
-54.7588050365448,1,1,"d"
-28.1305700540543,1,1,"d"
38.5821968317032,1,1,"d"
21.3163122534752,1,0,"d"
27.7849674224854,1,0,"d"
-54.7588050365448,1,1,"d"
-17.2089695930481,1,0,"d"
-37.3685449361801,1,1,"d"
-54.7588050365448,1,1,"d"
-48.2901483774185,1,0,"d"
-16.2335187196732,1,0,"d"
-48.2901483774185,1,1,"d"
1.15673914551735,1,0,"d"
-48.2901483774185,1,1,"d"
1.15673914551735,1,0,"d"
90.7529652118683,1,1,"d"
-54.7588050365448,1,1,"d"
-65.6804025173187,1,1,"d"
-54.7588050365448,1,0,"d"
-37.3685449361801,1,1,"d"
-54.7588050365448,1,0,"d"
-19.9782893061638,1,0,"d"
-54.7588050365448,1,1,"d"
-54.7588050365448,1,0,"d"
-9.76486057043076,1,0,"d"
-65.6804025173187,1,0,"d"
-48.2901483774185,1,0,"d"
-65.6804025173187,1,1,"d"
21.0412293672562,1,1,"d"
-37.3685449361801,1,1,"d"
3.92605736851692,1,0,"d"
55.9724509716034,1,1,"d"
-5.06925918161869,1,1,"d"
-65.6804025173187,1,0,"d"
38.5821968317032,1,1,"d"
-37.3685449361801,1,0,"d"
1.15673914551735,1,1,"d"
-37.3685449361801,1,0,"d"
-54.7588050365448,1,1,"d"
-65.6804025173187,1,1,"d"
-54.7588050365448,1,1,"d"
-54.7588050365448,1,0,"d"
-54.7588050365448,1,1,"d"
-16.2335187196732,1,0,"d"
-65.6804025173187,1,1,"d"
38.5821968317032,1,0,"d"
-54.7588050365448,1,1,"d"
-16.2335187196732,1,1,"d"
-27.1551191806793,1,0,"d"
-37.3685449361801,1,0,"d"
1.15673914551735,1,0,"d"
-48.2901483774185,1,0,"d"
-37.3685449361801,1,1,"d"
-54.7588050365448,1,0,"d"
-48.2901483774185,1,0,"d"
-65.6804025173187,1,0,"d"
-65.6804025173187,1,0,"d"
-16.2335187196732,1,1,"d"
1.15673914551735,1,1,"d"
-16.2335187196732,1,1,"d"
-54.7588050365448,1,1,"d"
-48.2901483774185,1,0,"d"
-54.7588050365448,1,0,"d"
1.15673914551735,1,1,"d"
55.9724509716034,1,1,"d"
-37.3685449361801,1,1,"d"
-65.6804025173187,1,1,"d"
-16.2335187196732,1,1,"d"
-48.2901483774185,1,0,"d"
46.1298257112503,1,1,"d"
-54.7588050365448,1,1,"d"
-37.3685449361801,1,0,"d"
-16.2335187196732,1,0,"d"
1.15673914551735,1,1,"d"
-34.5992267131805,1,0,"d"
